"DEPARTURE","ARRIVAL","ORIGIN","DEST","DISTANCE","DEP_DELAY","ARR_DELAY",
1456980960,1456986936,"JAX","DFW",918.00,-5.00,-13.00, 
1457067300,1457073816,"JAX","DFW",918.00,-6.00,1.00, 
1457153580,1457159340,"JAX","DFW",918.00,-8.00,-22.00, 
1456808220,1456812144,"MSY","MIA",675.00,-3.00,-3.00, 
1456894560,1456898268,"MSY","MIA",675.00,-4.00,-10.00, 
1456980840,1456984620,"MSY","MIA",675.00,-6.00,-10.00, 
1457067840,1457071296,"MSY","MIA",675.00,4.00,-9.00, 
1457153640,1457157204,"MSY","MIA",675.00,-6.00,-16.00, 
1456860360,1456864572,"ORD","LGA",733.00,105.00,97.00, 
1456941780,1456946064,"ORD","LGA",733.00,22.00,16.00, 
1457027820,1457032284,"ORD","LGA",733.00,17.00,16.00, 
1457113980,1457119452,"ORD","LGA",733.00,13.00,40.00, 
1457201100,1457205348,"ORD","LGA",733.00,25.00,18.00, 
1456833300,1456841652,"DFW","SFO",1464.00,5.00,8.00, 
1456918980,1456927548,"DFW","SFO",1464.00,-7.00,2.00, 
1457005980,1457014836,"DFW","SFO",1464.00,-2.00,15.00, 
1457092200,1457100516,"DFW","SFO",1464.00,-5.00,-3.00, 
1457178600,1457187204,"DFW","SFO",1464.00,-5.00,5.00, 
1457205120,1457210628,"ORD","MIA",1197.00,7.00,-25.00, 
1456837500,1456839948,"DFW","IAH",224.00,-7.00,-6.00, 
1456923840,1456926612,"DFW","IAH",224.00,-8.00,2.00, 
1457015460,1457017944,"DFW","IAH",224.00,79.00,81.00, 
1457096820,1457098764,"DFW","IAH",224.00,-5.00,-18.00, 
1456852140,1456863732,"MCO","LAX",2218.00,-6.00,-29.00, 
1456938420,1456950228,"MCO","LAX",2218.00,-8.00,-25.00, 
1457025720,1457037384,"MCO","LAX",2218.00,-8.00,-29.00, 
1457112360,1457124672,"MCO","LAX",2218.00,-4.00,-7.00, 
1457198160,1457210688,"MCO","LAX",2218.00,16.00,19.00, 
1456998420,1457012352,"JFK","SFO",2586.00,17.00,9.00, 
1457175060,1457189424,"JFK","SFO",2586.00,81.00,85.00, 
1456846740,1456857972,"LAX","JFK",2475.00,-6.00,-8.00, 
1456933260,1456944492,"LAX","JFK",2475.00,-4.00,-6.00, 
1457019840,1457032080,"LAX","JFK",2475.00,-1.00,25.00, 
1457107920,1457118612,"LAX","JFK",2475.00,27.00,10.00, 
1456851420,1456864272,"JFK","LAX",2475.00,27.00,-3.00, 
1456935840,1456949916,"JFK","LAX",2475.00,-6.00,-2.00, 
1457023920,1457038176,"JFK","LAX",2475.00,22.00,31.00, 
1457109180,1457122500,"JFK","LAX",2475.00,3.00,-14.00, 
1457195220,1457209656,"JFK","LAX",2475.00,-3.00,11.00, 
1457029560,1457035716,"LAX","AUS",1242.00,-9.00,-13.00, 
1457115780,1457121900,"LAX","AUS",1242.00,-12.00,-17.00, 
1457202420,1457208324,"LAX","AUS",1242.00,-8.00,-19.00, 
1456811760,1456819104,"AUS","LAX",1242.00,-9.00,-12.00, 
1456899600,1456906656,"AUS","LAX",1242.00,15.00,4.00, 
1456985820,1456993164,"AUS","LAX",1242.00,-3.00,-6.00, 
1457071980,1457078856,"AUS","LAX",1242.00,-7.00,-23.00, 
1457158260,1457165028,"AUS","LAX",1242.00,-9.00,-28.00, 
1456845000,1456854756,"DFW","SEA",1660.00,0.00,10.00, 
